,context_id,target_label,target_lemma,pos_tag,sentence,target_id
5295,cheat.v.11,cheat.v,cheat,v,"Regarding the phenomenon where some funds from inside and outside the border utilize unlawful channels to enter China to cheat on profits , cheat on arbitrage and cheat on exchange , relevant personnel in charge at the National Foreign Exchange Management Bureau expressed recently that the Foreign Exchange Management Department will strengthen the investigation of foreign exchange and the extent of supervision , severely punish unlawful capital flow inside and outside the border , and uphold the stability of the financial order . It was learned that , under the circumstances where the foreign exchange system reform has achieved good results , the foreign exchange position is comparatively relaxed , and the RMB exchange rate is continuously stable , some funds from inside and outside the border have also begun to use all sorts of unlawful channels to exit and enter China to cheat on profits , cheat on arbitrage and cheat on exchange . Because of this , the National Foreign Exchange Management Department increased the extent of investigations and starting in 1995 , successively implemented checks on foreign exchange business of financial institutions in Guangdong and national financial institutions .",143
5296,cheat.v.12,cheat.v,cheat,v,"Regarding the phenomenon where some funds from inside and outside the border utilize unlawful channels to enter China to cheat on profits , cheat on arbitrage and cheat on exchange , relevant personnel in charge at the National Foreign Exchange Management Bureau expressed recently that the Foreign Exchange Management Department will strengthen the investigation of foreign exchange and the extent of supervision , severely punish unlawful capital flow inside and outside the border , and uphold the stability of the financial order . It was learned that , under the circumstances where the foreign exchange system reform has achieved good results , the foreign exchange position is comparatively relaxed , and the RMB exchange rate is continuously stable , some funds from inside and outside the border have also begun to use all sorts of unlawful channels to exit and enter China to cheat on profits , cheat on arbitrage and cheat on exchange . Because of this , the National Foreign Exchange Management Department increased the extent of investigations and starting in 1995 , successively implemented checks on foreign exchange business of financial institutions in Guangdong and national financial institutions .",143
5297,cheat.v.13,cheat.v,cheat,v,"Regarding the phenomenon where some funds from inside and outside the border utilize unlawful channels to enter China to cheat on profits , cheat on arbitrage and cheat on exchange , relevant personnel in charge at the National Foreign Exchange Management Bureau expressed recently that the Foreign Exchange Management Department will strengthen the investigation of foreign exchange and the extent of supervision , severely punish unlawful capital flow inside and outside the border , and uphold the stability of the financial order . It was learned that , under the circumstances where the foreign exchange system reform has achieved good results , the foreign exchange position is comparatively relaxed , and the RMB exchange rate is continuously stable , some funds from inside and outside the border have also begun to use all sorts of unlawful channels to exit and enter China to cheat on profits , cheat on arbitrage and cheat on exchange . Because of this , the National Foreign Exchange Management Department increased the extent of investigations and starting in 1995 , successively implemented checks on foreign exchange business of financial institutions in Guangdong and national financial institutions .",143
5298,cheat.v.14,cheat.v,cheat,v,"Because of this , the National Foreign Exchange Management Department increased the extent of investigations and starting in 1995 , successively implemented checks on foreign exchange business of financial institutions in Guangdong and national financial institutions . During checks , it discovered that some corporations and individuals made use of foreign trading companies that have import and export operation rights , allowing them to perform "" import agent "" business , used false customs documents to cheat on exchange , in order to get foreign exchange capital through tax evasion and smuggling , while the foreign trading companies earned agent commission fees without any cost ; there was also some international speculative capital which infiltrated regular items to get remitted into the country ; or entered the domestic stock market for speculating , or false custom documents were purchased to purchase exchange to derive profit from the exchange differences within Chinese territory . Relevant directors of the National Exchange Management Bureau expressed that henceforth , the Foreign Exchange Management Department , apart from continuously perfecting laws and regulations on foreign exchange management , will also continue to increase the extent of investigations and handling of cases violating regulations and violating laws ; will , toward relevant institutions and units that violated laws and violated regulations , in addition to punishment , strengthen supervision of their future purchases of foreign exchange ; and will transfer those violating criminal law to the Public Security Bureau for handling , in order to preserve stability of the financial order .",76
5299,cheat.v.15,cheat.v,cheat,v,"Since the beginning of exchanges between the two governments , Taiwanese business people have been conducting trade with Palau , and have also invested there , entering the restaurant , fishing , retail , and other trades . During the Taiwan Strait missile crises in 1995 and 1996 , when rumors and panic filled the air , fraudulent business groups in Taiwan cheated many investors with a scam surrounding real estate in Palau , but there was a silver lining to this cloud : It attracted the attention of more Taiwan business people , and especially the domestic tourism industry , to business opportunities in Palau . Bin-fang Stone , now director of the Palau-ROC Friendship Association , was one of those who came to Palau at that time to explore the possibility of investment in real estate .",62
5300,cheat.v.16,cheat.v,cheat,v,"But there are still pitfalls to watch out for . Chang says that many parents use praise without making it clear to the child just what he is being praised for , and this "" cheats "" the child rather than showing him true respect . It 's the process that counts",35
5338,root.v.1,root.v,root,v,"Joe and myself , he 's the partner , we were looking to design some licenses to put on some t-shirts , and at the time big dogs were big , and all the mean dogs , and no fear was a big hit , and we thought it was time for a bit of a change for the 18 crowd . So we actually took the opposite of all that , and looked for the smallest , weakest , most timid animal , and tried to make him cool , tried to make him big , and we knew if he gave him some spunk , everybody would root for him .",109
5339,root.v.2,root.v,root,v,"The liberal-conservative division , we might observe in passing , is not of itself directly involved in a private interest conflict nor even in struggle between ruling groups . Rather it is rooted in a difference of response to the threat of social disintegration . The division is not between those who wish to preserve what they have and those who want change .",32
5340,root.v.3,root.v,root,v,"At that point men become aware of the mystery of history called variously `` fate '' , or `` destiny '' , or `` providence '' , and feel themselves caught helplessly in the writhing of a disrupted society . The reasons for this experience are rooted in the metaphysical characteristics of such a change . Of all forms of being , society , or community , has the greatest element of determinability .",46
5341,root.v.4,root.v,root,v,"The content of that psychological status determines , ultimately , the content of civilization . Those social , civilizational factors not rooted in the human spirit of the group , ultimately cease to exist . Civilization itself -- tradition -- falls out of existence when the human spirit itself becomes confused .",21
5342,root.v.5,root.v,root,v,"Civilization is what man has made of himself . Its massive contours are rooted in the simple need of man , since he is always incomplete , to complete himself . It is not enough for man to be an ontological esse .",13
5343,root.v.6,root.v,root,v,"When the reactionary response is thus bolstered by an intellectual defense , the characteristics of that defense are explicable only in terms of the basic attitudes of unanalyzed reaction . Reaction is rooted in a perception of tradition as a whole . It is a total situation that is defended : the `` good old days '' .",32
5344,root.v.7,root.v,root,v,"He was not sure how much of this desire was due to his devotion to the church and how much was his own ego , demanding to be satisfied , for the two were intertwined and could not be separated . He wanted desperately to see Kayabashi defeated , the Communists in the village rooted out , the mission standing triumphant , for in the triumph of the Lord he himself would be triumphant , too . But perhaps this was a part of the eternal plan , that man 's ambition when linked with God would be a driving , indefatigable force for good in the world .",54
5345,root.v.8,root.v,root,v,[Tim_Russert] Who do you like now /? [John_Harwood] Boy I 'm rooting for George Mason /. [John_Harwood] That 's the -- that 's the uh underdog pick right now /.,11
5346,root.v.9,root.v,root,v,"If `` A Wild Sheep Chase '' carries an implicit message for international relations , it 's that the Japanese are more like us than most of us think . That 's not to say that the nutty plot of `` A Wild Sheep Chase '' is rooted in reality . It 's imaginative and often funny .",47
5347,root.v.10,root.v,root,v,"Baron Elie de Rothschild , the family 's elder spokesman , explains that by the end of the 19th century , Berlin had replaced Frankfurt as Germany 's financial center . Yet the chief reason for the closure , he says , was rooted in a family tradition that would n't allow a bank to bear the Rothschild name without a Rothschild in its management . `` At the time we had only daughters , '' explains the 72-year-old patriarch , `` so we had to close the bank . ''",43
5348,root.v.11,root.v,root,v,"I remembered being fired at age 44 , with five children at home , when my views and actions were deemed unsettling by a timid , small-town employer . How difficult it is for a thinking person to live among societies rooted in the past . Now , I revel in the freedom , culture , activity and diversity of this great metropolitan area with its traffic jams and perpetual road-building projects .",41
5349,root.v.12,root.v,root,v,"Since Mexican President Carlos Salinas de Gortari took office last December , special agents have arrested more than 6,000 federal employees on charges ranging from extortion to tax evasion . Hector Castaneda Jimenez , chief prosecutor at the Attorney General 's Office , said that an estimated $ 82.8 million in government property and unpaid taxes have been recovered in the campaign to root out official corruption . Mr. Castaneda 's office will reportedly issue warrants during the next six months for the arrest of another 10,000 federal employees .",63
5350,root.v.13,root.v,root,v,"And Gorky , considered the father of Soviet socialist realism , did not write plays that easily lend themselves to deliberately antirealistic distancing techniques . Gorky was a loyal if occasionally ambivalent proletarian writer committed to enlightening the masses with plain speaking rooted in a slightly sour version of Chekhovian humanism . And `` Summerfolk , '' penned in 1904 as a kind of sequel to Chekhov 's `` Cherry Orchard , '' is a lawn party of Russian yuppies engaged in an exhausting ideological fight to the finish between the allrightniks and the reformers .",42
5351,root.v.14,root.v,root,v,"At the ritzy Fashion Island Shopping Center , the tanned and elegant ladies of this wealthy Southern California beach community disembark from their Mercedes-Benzes and BMWs for another day of exercising their credit cards . They root among the designer offerings at Neiman-Marcus and Bullocks Wilshire . They stroll through the marble-encased corridors of the Atrium Court .",36
5352,root.v.15,root.v,root,v,"Finally , even the time-honored strategy called `` value investing '' no longer means what it once did . Before the takeover mania of the '80s , it referred to rooting out through analysis undervalued stocks , especially those with shrewd management , sound fundamentals and decent prospects . Now , says Mr. Biehl , value investing often means `` looking for downtrodden companies with terrible management that are in real trouble . ''",30
5353,root.v.16,root.v,root,v,"In fact , Kazuo Ishiguro 's `` The Remains of the Day '' -LRB- Knopf , 245 pages , $ 18.95 -RRB- is both an homage to traditional English forms and a dramatic critique of them . It implies that the British Empire was rooted in its subjects ' minds , manners and morals , and argues , tacitly , that its self-destructive flaws were embodied in the defensive snobbery , willful blindness , role-playing and especially the locutions of its domestic servants . As the narrator Stevens , the solitary butler of Darlington Hall , mulls over such hallowed terms as `` greatness , '' `` dignity , '' `` service '' and `` loyalty , '' we see how pious cant subverts the soul .",44
5354,root.v.17,root.v,root,v,"I love 'em both . The only thing I 'm rooting for is for the Series to go seven games , '' said David Williams , a Sacramento septuagenarian , at the Coliseum before Sunday 's go . The above represents a triumph of either apathy or civility .",10
5355,root.v.18,root.v,root,v,"Suffice it to say that if this were a New York Yankees-Mets series , or one between the Chicago Cubs and White Sox -LRB- hey , it 's possible -RRB- , you 'd need uniformed police in every other seat to separate opposing fans , and only the suicidal would bifurcate their bonnets . Anyway , the A 's gave you a lot of heroes to root for . In the opening game , besides Steinbach and Stewart , there was Walt Weiss , a twiggy-looking , second-year shortstop who had lost a couple months of the season to knee surgery .",66
5482,haunt.v.1,haunt.v,haunt,v,"Once , they were at Easthampton for the summer -LRB- again , Fritzie said , a good place , even though they were being robbed -RRB- . One soft evening -- that marvelous sea-blessed time when the sun 's departing warmth lingers and a smell of spume and wrack haunts everything -- Amy had picked herself off the floor and begun to walk . Fritzie was on the couch reading ; ; Laura was sitting in an easy chair about eight feet away .",49
5483,haunt.v.2,haunt.v,haunt,v,He dismissed the possibility at once . The girl 's thin face haunted him . It was n't the face of a killer .,12
5484,haunt.v.3,haunt.v,haunt,v,"How could he comprehend her need when he himself was innocent ? ? Indian ghosts would not impinge upon his nights , nor would his days be haunted by the dimly-outlined , ill-conceived figure of her benighted ancestor . His bright , daylight mind would whistle away such images ; ; they would not dare to face his scoffing .",27
5485,haunt.v.4,haunt.v,haunt,v,"For several months now , Jack Carter , a big overgrown boy of fifteen with a fuzzy , pimpled face and greenish catlike eyes with a lot of red in them , had been haunted by a dream , a vision , of a Woman . This Woman had no distinct shape or size and no particular face , but she radiated warmth , a sweet warmth ; ; she would talk to him in a soothing voice about things his mother would have said were not nice and put her hands on him and kiss him passionately .",34
5486,haunt.v.5,haunt.v,haunt,v,"No , I forget Mrs. Mathias , who had been away visiting a married daughter when it happened . She haunted me ; ; she persisted in explaining how and why she had advised Mrs. Salter to return to the country . `` We all feel guilty '' , I turned away from her coldly .",20
5487,haunt.v.6,haunt.v,haunt,v,"The next time we saw him , he was a changed person ; ; he had aged thirty years , and his face , the color of tallow , was crisscrossed with wrinkles , as though it had been wrapped in chicken wire . Some sort of nemesis was haunting his footsteps , he told us in a quavering voice -- either an ape specter or Abe Spector , a process-server , we could n't determine which . His eyes had the same dreadful rigid stare as Dr. Grimesby Roylott 's when he was found before his open safe wearing the speckled band .",49
5488,haunt.v.7,haunt.v,haunt,v,"`` I would n't be in his shoes for all the rice in China . There 's some kind of a nemesis haunting his footsteps '' . However one looks at it , therefore , I 'd say that your horoscope for this autumn is the reverse of rosy .",22
5489,haunt.v.8,haunt.v,haunt,v,[Anderson_Cooper] Eight hundred thousand people at least women men and children were brutally killed hacked to death stabbed thrown into rivers /. [Anderson_Cooper] Today the genocide 's effects are still haunting both the survivors and the wildlife in Rwanda /. [Anderson_Cooper] You see many of those who fled some of them settled in an animal refuge /.,30
5490,haunt.v.9,haunt.v,haunt,v,[Andrea_Mitchell] and Annan is going to have to listen to him /. [Andrea_Mitchell] Uh I guess that if Bolton had not said some of the things that he had said in the past that you know the ~UN secretariat has thirty-eight floors and you could lose ten of them without losing anything those kinds of quotes are going to kind of haunt him /. [Chris_Matthews] Do you think there 's any danger in the world of causing a real war in North Korea again another Korean war by calling the North Korean dictator what he is /?,61
5491,haunt.v.10,haunt.v,haunt,v,"`` I 've never met a ghost that could n't be explained away by perfectly natural means , '' he says . When a Louisville woman complained that a ghost was haunting her attic , Mr. Baker discovered a rat dragging a trap across the rafters . A foul-smelling demon supposedly plagued a house in Mannington , Ky .",31
5492,haunt.v.11,haunt.v,haunt,v,"Mr. Warren pronounces the Litchfield case `` your typical demonic infestation . '' A Scottish dwarf built the small red house 110 years ago and now his demonic ghost haunts it , Mr. Warren says . The owner , who begs anonymity , asserts that the dwarf , appearing as a dark shadow , has manhandled her , tossing her around the living room and yanking out a hank of hair .",29
5493,haunt.v.12,haunt.v,haunt,v,"Researchers say the inactivation of tumor-suppressor genes , alone or in combination , appears crucial to the development of such scourges as cancer of the brain , the skin , kidney , prostate , and cervix . There is evidence that if people inherit defective versions of these genes , they are especially prone to cancer , perhaps explaining , finally , why some cancers seem to haunt certain families . The story of tumor-suppressor genes goes back to the 1970s , when a pediatrician named Alfred G. Knudson Jr. proposed that retinoblastoma stemmed from two separate genetic defects .",67
5494,haunt.v.13,haunt.v,haunt,v,"In a powerful separate opinion , Judge Oakes further distinguished the Salinger case by pointing out that a living person , like Mr. Salinger , had privacy rights that did not apply to a dead man , like Mr. Hubbard . `` I thought that Salinger might by being taken in another factual context come back to haunt us . This case realizes that concern . ''",57
5495,haunt.v.14,haunt.v,haunt,v,"Nelson Bunker Hunt 's attempted corner on silver a decade ago is still haunting the market in this metal . Silver , now trading around $ 5 an ounce , surged to an all-time peak of $ 50 an ounce in January 1980 from around $ 9 in mid-1979 .",13
5496,haunt.v.15,haunt.v,haunt,v,"Many retailers fear a price war will erupt if cash-strapped companies such as Campeau Corp. slash tags to spur sales . Concerns about the stock market , doubts about the economy in general and rising competition from catalog companies also haunt store operators . `` Profits at Christmas could be under attack for every retailer , '' asserts Norman Abramson , president and chief operating officer of Clothestime Inc. , an off-price chain .",40
5497,haunt.v.16,haunt.v,haunt,v,"WASHINGTON LIES LOW after the stock market 's roller-coaster ride . Lawmakers , haunted by charges that some of their comments contributed to the 1987 crash , generally shy away from calls for sweeping new legislation . But a House Energy and Commerce subcommittee will quiz SEC Chairman Breeden Wednesday , and Treasury Secretary Brady will go before the Senate Banking panel Thursday .",13
5498,haunt.v.17,haunt.v,haunt,v,"Baglioni has had a kind of preference for water since birth . He said , "" Water is a topic which haunts repeatedly in my compositions . Water is a product of nature .",21
5663,frame.v.1,frame.v,frame,v,"Hughes said that he had understood the party was to be in honour of Jerry O'Connor , the proprieter of a Loop gambling house . `` But when I arrived and recognised a number of notorious characters I had thrown into the detective bureau basement half a dozen times , I knew I had been framed , and withdrew almost at once '' . In fact , O'Connor was honoured during the ceremony with the presentation of a $ 2500 diamond stickpin .",55
5664,frame.v.2,frame.v,frame,v,"Juanita stopped just inside the open door , her hand to her mouth . As Kate came swiftly down the stairs to the hall she saw Colonel Marsh framed in the doorway , his face set in the same vulnerable look Juanita wore . Kate greeted him gravely , uneasy with misgivings at his visit .",28
5665,frame.v.3,frame.v,frame,v,"After a minute he went on , `` People must think the curse is on me , seeing you fresh as an apple and me old and gray '' . `` I 'll give you a medical certificate , framed , if you like '' , Miss Ada had said . `` No .",39
5666,frame.v.4,frame.v,frame,v,"On the second floor he saw the animated faces of the party guests ; ; the scene looked like a Christmas card . On the third floor one of the two windows was lighted ; ; it was framed in maroon drapes , and no faces were visible . This would be Mahzeer 's office .",38
5667,frame.v.5,frame.v,frame,v,"The silence oppressed him , made him bend low over the horse 's neck as if to hide from a wind that had begun to blow far away and was twisting slowly through the darkness in its slow search . They passed ranches that were framed dark gray against the black hills . Then at last the darkness began to dissolve .",45
5668,frame.v.6,frame.v,frame,v,"This time there was no sound of brakes but the shrieking of women . I looked back at pale ovals framed in the elongated oval of the car 's rear window . `` Drink , you son of a bitch '' ! !",20
5669,frame.v.7,frame.v,frame,v,To him they were one and the same . Sameness for the Old Man was framed in by a wall of ginkgo trees which divided these quarters from the city . Sameness lined the streets with two-story houses the color of ash .,15
5670,frame.v.8,frame.v,frame,v,"The boys were tiny . They had large bright eyes , the small upturned noses of all babies everywhere , and hair cropped short except for the long ringlets of paot framing their little white faces . They bent over yellowed prayerbooks and looked up only to watch the teacher .",31
5671,frame.v.9,frame.v,frame,v,"Now would you care to have us say that you were misquoted in regard to it '' ? ? Questions like this , framed in verbal fog , are perhaps the only kind that have ever stumped an experienced politician . They recall Byron 's classic comment : `` I wish he would explain his explanation '' .",23
5672,frame.v.10,frame.v,frame,v,[Tom_Friedman] There 's something really important here at stake /. [Tom_Friedman] and what makes me so angry at the Bush administration is not that they did n't frame the stakes /. [Tom_Friedman] It is important /.,27
5673,frame.v.11,frame.v,frame,v,"The proposed legislation is aimed at rectifying some of the inequities in the current land-ownership system . Highlights of the bills , as currently framed , are : -- A restriction on the amount of real estate one family can own , to 660 square meters in the nation 's six largest cities , but more in smaller cities and rural areas . The government will penalize offenders , but wo n't confiscate property .",24
5674,frame.v.12,frame.v,frame,v,"He maintains that the information from the FBI will help him get his 1968 conviction vacated and his bail-jumping indictment dismissed . His attorneys claim he was framed by the FBI and New York police as part of a campaign to destroy the black liberation movement of the 1960s . Because the federal Freedom of Information Act was n't law at that time , the FBI was n't required to turn over information on its investigations when Mr. Ferguson appealed his conviction in the 1960s .",27
5675,frame.v.13,frame.v,frame,v,"During the trial , Mr. Lang asked Mr. Lorin whether he had been so upset `` that you considered killing Mr. Laff ? ... Is n't it true that you were so worked up that framing Mr. Laff for this crime was the least that you planned for him ? '' Mr. Lorin responded , `` No . ''",35
5676,frame.v.14,frame.v,frame,v,"They 're frightened by what they see in New Jersey , and especially Virginia , where pro-life GOP candidates for governor are being pummeled on abortion . Eddie Mahe , a Republican consultant , says the two GOP candidates could have avoided trouble if they had framed the issue first . -LRB- In Virginia , Marshall Coleman and his running mate , Eddy Dalton , are both on the defensive for opposing abortions even in cases of rape or incest . -RRB-",46
5677,frame.v.15,frame.v,frame,v,"On abortion , their own day will come . Eventually even Republicans will find a way to frame the issue in ways that expose pro-choice absolutism . Does the candidate favor parental consent for teen-age abortions ?",17
5678,frame.v.16,frame.v,frame,v,"I had underestimated , however , both Mr. Gelbart 's wit and the persistence of scandal in Washington . Though the play clearly is framed around the events of Iran-Contra , it takes in the wide sweep of scandals over the past 30 years . In fact , at one point Merry Chase -LRB- Melinda Mullins -RRB- , a cool , carefully coiffed television announcer , recites a list of a dozen or more scandals of recent years , concluding with those affecting the Department of Housing and Urban Development and the savings and loan industry .",24
5679,frame.v.17,frame.v,frame,v,"Today , after Mr. Freeman 's plea , there is an uncertainty that is both unfair and inefficient . In this light , the comparative advantages of legislative law-making become clear : -LRB- 1 -RRB- Before it acts , the legislature typically will hear the views of representatives of all those affected by its decision , not just the immediate parties before the court ; and -LRB- 2 -RRB- the legislature can frame `` bright line '' standards that create less uncertainty than the fact-bound decisions of courts . Although legislative lines can result in under-inclusion -LRB- which explains why the SEC has long resisted a legislative definition of insider trading -RRB- , judicial lawmaking inevitably creates uncertainty because of the shadowy outer edges and implications of most judicial decisions .",72
5680,frame.v.18,frame.v,frame,v,"In order to expand cooperation with the outside and attract foreign capital , a series of regulations , rules and corresponding preferential policies had been made by the Chinese government . At the same time , the state taxation department , in accordance with international practice and by drawing on the experiences of some of the main oil producing countries in the world , was continuously revising and improving the policies , laws and regulations on the taxation of cooperation with the outside in exploring and developing petroleum , initially framing a tax system suite for the cooperation with the outside on exploring and developing petroleum and natural gas , which exerted important roles in attracting foreign merchant 's investment . Binggang Zhu expressed that , China would continue to expand the opening up to the outside and accelerate the pace of cooperation with the outside .",90
5681,frame.v.19,frame.v,frame,v,"Lien Chan , candidate of the ruling KMT , is somewhat bound to support the government 's "" two states formula . "" After much consideration , his mainland policy has been framed as working toward the middle stage of the National Reunification Guidelines - in other words , attempting to re-establish official channels of communication between the two sides of the strait . "" No one dares be different from the others on mainland policy , "" says Wang Chien-chuang .",32
6238,regain.v.1,regain.v,regain,v,"He 's saying that he will , but this may be an impossible task , not because he is is n't interested in appointing Democrats , but because the word has gone out not to accept a position . Now , this , of course , is part of their tactic to try to regain control of the House and Senate in 2002 and 2004 . It may be not Bush 's fault if you do n't see any of the Democratic faces around the table .",54
6239,regain.v.2,regain.v,regain,v,"This comes out in `` When The Bells Ring '' , which describes the rallying of the peasants in southern Sweden to repel an invasion by the Danes . In `` The King 's Ride '' , Charles breaks out of a long period of petulance and inertia , regains his old self , escapes from Turkey , and finally reaches his own land after an absence of eighteen years . He finds it in utter misery and desolation .",49
6240,regain.v.3,regain.v,regain,v,"The innocence of which I speak is , I know , not incorruptible . But I insist upon believing that even when it is lost , it may , like paradise , be regained . However , it was not of innocence in general that I was speaking , but of perhaps the frailest and surely the least important side of it which is innocence in romantic love .",33
6241,regain.v.4,regain.v,regain,v,"He side-stepped her blow and she fell , stumbling against the gelding . She finally regained her balance and got up in the saddle . Her hat had come off and fallen behind her shoulders , held by the string , and he could see her face more clearly than he had at any time before .",15
6242,regain.v.5,regain.v,regain,v,"And Donna would -- When he regained consciousness he was in Lord 's house , in the office of Doctor Lord , the deputy 's deceased father .",6
6243,regain.v.6,regain.v,regain,v,"We were back on the road . I regained my squatting position behind the truck cab 's rear window . Johnson 's left hand was pressed against the side of his head , red cheeks whitening beneath his fingers .",8
6244,regain.v.7,regain.v,regain,v,"Nevertheless , Rep. Gerry Studds of Massachusetts was handily re-elected because of the candor with which he handled revelations that he had sex with a male congressional page in 1983 . Former Rep. Robert Bauman , a Maryland Republican who lost his seat in 1980 after he was caught soliciting sex from a 16-year-old boy , has never regained his professional footing as a lawyer . Mr. Bauman , a conservative , says he was deserted by the right wing .",58
6245,regain.v.8,regain.v,regain,v,"The two executives are among a number of outsiders recruited by Reebok in the past few years to help it make the transition from a small start-up company to a marketing giant with sales last year of $ 1.79 billion . The changes come as Reebok , which grew rapidly in the mid-1980s but has seen its sales flatten of late , is seeking to regain momentum in the athletic-shoe business against rivals Nike Inc. and L.A. Gear Inc . The departures , said Alice Ruth , an analyst at Montgomery Securities in San Francisco , should enable the company to focus on business issues instead of management differences .",65
6246,regain.v.9,regain.v,regain,v,"But the Nikkei fell an overall 1.8 % in value that day compared with Wall Street 's far sharper 6.9 % drop on Oct. 13 . The Tokyo market 's resiliency helped participants to regain confidence gradually as they spent more time on analyzing factors that caused the Friday plunge and realized these problems were unique to New York stocks and not directly related to Tokyo . The Nikkei continued to gain for the rest of the week , adding 1017.69 points in four days -- more than erasing Monday 's losses .",34
6247,regain.v.10,regain.v,regain,v,"Trelleborg 's internationally traded `` Bfree '' series stock plunged SKr29 -LRB- $ 4.48 -RRB- to SKr205 -LRB- $ 31.65 -RRB- in volatile trading Monday in Stockholm . Tuesday , the shares regained SKr20 , closing at SKr225 . Mr. Andersson says he is confident that taking parts of the company public will help erase the `` conglomerate stigma '' that has held down Trelleborg 's share price .",32
6248,regain.v.11,regain.v,regain,v,"Soon the studio is producing a $ 40 million picture called `` Tet , the Motion Picture , '' to distinguish it from `` Tet , the Offensive , '' as well as `` Tet , the Book '' and `` Tet , the Album . '' The picture , to be made in the Central American country of San Elvador , is a cover for sending $ 800 million of arms to Los Otros , the rebel group attempting to regain neighboring Ambigua , which has been taken over by the leftist dictator Dr. Overtega , a former podiatrist , who leads a revolutionary band of foot soldiers . The man handling all this for the now-deceased Slaughter is Major Manley Battle , Mr. Gelbart 's stand in for Col. Oliver North .",81
